"id";"nome";"bairro";"endereco";"telefone";"cep";"diretor";"id_municipio";"cod_uge"
167;Grande São Paulo ABC;Centro;Rua General Glicério 45 - 8º Andar;(11) 4990-5812;"09015-190";Janete Fátima Massagardi Damo;537;350112
168;Grande São Paulo Leste;Centro;Rua Rangel Pestana 60;(11)4799-2017;"08710-240";Hilda Laura Correa da Silva Canevatti;346;350113
169;Grande São Paulo Norte;Vila Augusta;Rua Rui Barbosa 116;(11)2443-5326;"07023-030";Mirian Avediane Pelorca;215;350107
170;Grande São Paulo Oeste;Centro;Rua Nelson de Camargo 299;(11)3681-8607;"06010-070";Izilda Aparecida Orlando da Silva;390;350110
171;Sorocaba;Jardim America;Av. Washington Luiz 1771;(15)3232-6784;"18046-700";Adalberto da Silva de Jesus;584;350118
172;Campinas;Cambui;Rua Guilherme da Silva 290;(19)3294-3700;"13025-070";Laura Maria Contador Rodrigues da Silva;109;350119
173;Ribeirão Preto;Centro;Rua Mariana Junqueira 1247  1º andar;(16)3610-5852;"14015-010";Delvita Pereira Alves;490;350120
174;Bauru;Altos da Cidade;Rua Joaquim da Silva Martha 13-47;(14)3227-2104;"17014-010";Maria Moreno Perroni;68;350121
175;São José do Rio Preto;Boa Vista;Rua Boa Vista 827;(17)3232-7944;"15025-010";Silvia maria de Castilho Laguna;559;350122
176;Alta Noroeste;Centro;Praça Joaquim Dibo 20;(18)3623-3983;"16010-440";Martha Helena Pimenta;32;350123
177;Alta Paulista;Centro;Av. Presidente Vargas 1152;(18)3821-4070;"17900-000";Rejane de Menezes Sanchez;161;350156
178;Marília;Senador Salgado Filho;Rua Bororos 326;(14)3413-3813;"17502-270";Helio Benetti;329;350125
179;Barretos;Centro;Av. 25  entre as ruas 16 e 18 617;(17)3322-8086;"14780-050";Marcia Aparecida Muzeti;63;350127
180;Franca;Centro;Rua Major Claudiano  1488;(16)3721 3721;"14400-690";Vania Cristina Baldochi Malta;188;350128
181;Araraquara;Jardim Santa Lucia;Rua Castro Alves 1271;(16)3322-1744;"14800-140";Andrea Cristina Pastore;37;350129
182;Piracicaba;Centro;Rua Boa Morte 2149;(19)3435-7574;"13400-140";Maria Aparecida Ribeiro Germek;436;350138
183;Botucatu;Centro;Rua Doutor Costa Leite 1464;(14)3882-1599;"18602-110";Amelia Maria Sibar;86;350139
184;Fernandópolis;Centro;Av. Expedicionarios Brasileiros 971;(17)3442-1303;"15600-000";Dirce Aparecida Della Rovere;181;350140
185;Avaré;Pinheiro Machado;Rua Rio Grande do Norte 674;(14)3732-0155;"18705-420";Elza Castilho Albuquerque;52;350141
186;Vale do Paraíba;Vila Betania;Rua Raul Roldao da Costa 234;(12)3922-8433;"12245-591";Maria Aparecida Silva de Matos;560;350146
187;Baixada Santista;Campo Grande;Rua Alvaro Guiao 92;(13)3221-1002;"11075-380";Rosana Maria Russo Andre Leite Soares;545;350147
188;Vale do Ribeira;Centro;Av. Clara Gianotti de Souza 1151;(13)3821-4162;"11900-000";Ana Lourdes Fidelis de Oliveira;480;350148
189;Capital;Campos Elísios;Rua Guaianazes 1050;(11)3331-1312;"01204-001";Liciana Maria de Lucia Reis;565;350109
190;Alta Sorocabana;Bairro do Bosque;Rua Joaquim Nabuco 58;(18)3221-1733;"19010-070";Mariane Delatin Rodrigues Ito;467;350124
191;Itapeva;Nossa Senhora de Fatima;Rua Minas Gerais 44;(15)3522-2129;"18409-100";Paulina Lara Campos Morais Vasconcelos Garcia;259;350149
192;Mogiana;Centro;Rua Prudenciana de Azevedo 187;(19)3631-3140;"13870-218";Joao Alborgheti;551;350155
