"id";"nome";"ibge";"drads_id";"uf"
1;Adamantina;3500105;177;26
2;Adolfo;3500204;175;26
3;Aguaí;3500303;192;26
4;Águas da Prata;3500402;192;26
5;Águas de Lindóia;3500501;172;26
6;Águas de Santa Bárbara;3500550;185;26
7;Águas de São Pedro;3500600;182;26
8;Agudos;3500709;174;26
9;Alambari;3500758;171;26
10;Alfredo Marcondes;3500808;190;26
11;Altair;3500907;179;26
12;Altinópolis;3501004;173;26
13;Alto Alegre;3501103;176;26
14;Alumínio;3501152;171;26
15;Álvares Florence;3501202;184;26
16;Álvares Machado;3501301;190;26
17;Álvaro de Carvalho;3501400;178;26
18;Alvinlândia;3501509;178;26
19;Americana;3501608;172;26
20;Américo Brasiliense;3501707;181;26
21;Américo de Campos;3501806;184;26
22;Amparo;3501905;172;26
23;Analândia;3502002;182;26
24;Andradina;3502101;176;26
25;Angatuba;3502200;171;26
26;Anhembi;3502309;183;26
27;Anhumas;3502408;190;26
28;Aparecida;3502507;186;26
29;Aparecida d'Oeste;3502606;184;26
30;Apiaí;3502705;191;26
31;Araçariguama;3502754;171;26
32;Araçatuba;3502804;176;26
33;Araçoiaba da Serra;3502903;171;26
34;Aramina;3503000;180;26
35;Arandu;3503109;185;26
36;Arapeí;3503158;186;26
37;Araraquara;3503208;181;26
38;Araras;3503307;182;26
39;Arco-Íris;3503356;178;26
40;Arealva;3503406;174;26
41;Areias;3503505;186;26
42;Areiópolis;3503604;183;26
43;Ariranha;3503703;175;26
44;Artur Nogueira;3503802;172;26
45;Arujá;3503901;168;26
46;Aspásia;3503950;184;26
47;Assis;3504008;178;26
48;Atibaia;3504107;172;26
49;Auriflama;3504206;176;26
50;Avaí;3504305;174;26
51;Avanhandava;3504404;176;26
52;Avaré;3504503;185;26
53;Bady Bassitt;3504602;175;26
54;Balbinos;3504701;174;26
55;Bálsamo;3504800;175;26
56;Bananal;3504909;186;26
57;Barão de Antonina;3505005;185;26
58;Barbosa;3505104;176;26
59;Bariri;3505203;174;26
60;Barra Bonita;3505302;174;26
61;Barra do Chapéu;3505351;191;26
62;Barra do Turvo;3505401;188;26
63;Barretos;3505500;179;26
64;Barrinha;3505609;173;26
65;Barueri;3505708;170;26
66;Bastos;3505807;178;26
67;Batatais;3505906;180;26
68;Bauru;3506003;174;26
69;Bebedouro;3506102;179;26
70;Bento de Abreu;3506201;176;26
71;Bernardino de Campos;3506300;185;26
72;Bertioga;3506359;187;26
73;Bilac;3506409;176;26
74;Birigui;3506508;176;26
75;Biritiba Mirim;3506607;168;26
76;Boa Esperança do Sul;3506706;181;26
77;Bocaina;3506805;174;26
78;Bofete;3506904;183;26
79;Boituva;3507001;171;26
80;Bom Jesus dos Perdões;3507100;172;26
81;Bom Sucesso de Itararé;3507159;191;26
82;Borá;3507209;178;26
83;Boracéia;3507308;174;26
84;Borborema;3507407;181;26
85;Borebi;3507456;174;26
86;Botucatu;3507506;183;26
87;Bragança Paulista;3507605;172;26
88;Braúna;3507704;176;26
89;Brejo Alegre;3507753;176;26
90;Brodowski;3507803;173;26
91;Brotas;3507902;182;26
92;Buri;3508009;191;26
93;Buritama;3508108;176;26
94;Buritizal;3508207;180;26
95;Cabrália Paulista;3508306;174;26
96;Cabreúva;3508405;172;26
97;Caçapava;3508504;186;26
98;Cachoeira Paulista;3508603;186;26
99;Caconde;3508702;192;26
100;Cafelândia;3508801;174;26
101;Caiabu;3508900;190;26
102;Caieiras;3509007;169;26
103;Caiuá;3509106;190;26
104;Cajamar;3509205;169;26
105;Cajati;3509254;188;26
106;Cajobi;3509304;179;26
107;Cajuru;3509403;173;26
108;Campina do Monte Alegre;3509452;171;26
109;Campinas;3509502;172;26
110;Campo Limpo Paulista;3509601;172;26
111;Campos do Jordão;3509700;186;26
112;Campos Novos Paulista;3509809;178;26
113;Cananéia;3509908;188;26
114;Canas;3509957;186;26
115;Cândido Mota;3510005;178;26
116;Cândido Rodrigues;3510104;181;26
117;Canitar;3510153;185;26
118;Capão Bonito;3510203;191;26
119;Capela do Alto;3510302;171;26
120;Capivari;3510401;182;26
121;Caraguatatuba;3510500;186;26
122;Carapicuíba;3510609;170;26
123;Cardoso;3510708;184;26
124;Casa Branca;3510807;192;26
125;Cássia dos Coqueiros;3510906;173;26
126;Castilho;3511003;176;26
127;Catanduva;3511102;175;26
128;Catiguá;3511201;175;26
129;Cedral;3511300;175;26
130;Cerqueira César;3511409;185;26
131;Cerquilho;3511508;171;26
132;Cesário Lange;3511607;171;26
133;Charqueada;3511706;182;26
134;Chavantes;3557204;185;26
135;Clementina;3511904;176;26
136;Colina;3512001;179;26
137;Colômbia;3512100;179;26
138;Conchal;3512209;182;26
139;Conchas;3512308;183;26
140;Cordeirópolis;3512407;182;26
141;Coroados;3512506;176;26
142;Coronel Macedo;3512605;185;26
143;Corumbataí;3512704;182;26
144;Cosmópolis;3512803;172;26
145;Cosmorama;3512902;184;26
146;Cotia;3513009;170;26
147;Cravinhos;3513108;173;26
148;Cristais Paulista;3513207;180;26
149;Cruzália;3513306;178;26
150;Cruzeiro;3513405;186;26
151;Cubatão;3513504;187;26
152;Cunha;3513603;186;26
153;Descalvado;3513702;181;26
154;Diadema;3513801;167;26
155;Dirce Reis;3513850;184;26
156;Divinolândia;3513900;192;26
157;Dobrada;3514007;181;26
158;Dois Córregos;3514106;174;26
159;Dolcinópolis;3514205;184;26
160;Dourado;3514304;181;26
161;Dracena;3514403;177;26
162;Duartina;3514502;174;26
163;Dumont;3514601;173;26
164;Echaporã;3514700;178;26
165;Eldorado;3514809;188;26
166;Elias Fausto;3514908;182;26
167;Elisiário;3514924;175;26
168;Embaúba;3514957;179;26
169;Embu das Artes;3515004;170;26
170;Embu-Guaçu;3515103;170;26
171;Emilianópolis;3515129;190;26
172;Engenheiro Coelho;3515152;172;26
173;Espírito Santo do Pinhal;3515186;192;26
174;Espírito Santo do Turvo;3515194;185;26
175;Estiva Gerbi;3557303;192;26
176;Estrela d'Oeste;3515202;184;26
177;Estrela do Norte;3515301;190;26
178;Euclides da Cunha Paulista;3515350;190;26
179;Fartura;3515400;185;26
180;Fernando Prestes;3515608;181;26
181;Fernandópolis;3515509;184;26
182;Fernão;3515657;178;26
183;Ferraz de Vasconcelos;3515707;168;26
184;Flora Rica;3515806;177;26
185;Floreal;3515905;184;26
186;Flórida Paulista;3516002;177;26
187;Florínea;3516101;178;26
188;Franca;3516200;180;26
189;Francisco Morato;3516309;169;26
190;Franco da Rocha;3516408;169;26
191;Gabriel Monteiro;3516507;176;26
192;Gália;3516606;178;26
193;Garça;3516705;178;26
194;Gastão Vidigal;3516804;176;26
195;Gavião Peixoto;3516853;181;26
196;General Salgado;3516903;176;26
197;Getulina;3517000;174;26
198;Glicério;3517109;176;26
199;Guaiçara;3517208;174;26
200;Guaimbê;3517307;174;26
201;Guaíra;3517406;179;26
202;Guapiaçu;3517505;175;26
203;Guapiara;3517604;191;26
204;Guará;3517703;180;26
205;Guaraçaí;3517802;176;26
206;Guaraci;3517901;179;26
207;Guarani d'Oeste;3518008;184;26
208;Guarantã;3518107;174;26
209;Guararapes;3518206;176;26
210;Guararema;3518305;168;26
211;Guaratinguetá;3518404;186;26
212;Guareí;3518503;171;26
213;Guariba;3518602;173;26
214;Guarujá;3518701;187;26
215;Guarulhos;3518800;169;26
216;Guatapará;3518859;173;26
217;Guzolândia;3518909;176;26
218;Herculândia;3519006;178;26
219;Holambra;3519055;172;26
220;Hortolândia;3519071;172;26
221;Iacanga;3519105;174;26
222;Iacri;3519204;178;26
223;Iaras;3519253;185;26
224;Ibaté;3519303;181;26
225;Ibirá;3519402;175;26
226;Ibirarema;3519501;178;26
227;Ibitinga;3519600;181;26
228;Ibiúna;3519709;171;26
229;Icém;3519808;175;26
230;Iepê;3519907;190;26
231;Igaraçu do Tietê;3520004;174;26
232;Igarapava;3520103;180;26
233;Igaratá;3520202;186;26
234;Iguape;3520301;188;26
235;Ilha Comprida;3520426;188;26
236;Ilha Solteira;3520442;176;26
237;Ilhabela;3520400;186;26
238;Indaiatuba;3520509;172;26
239;Indiana;3520608;190;26
240;Indiaporã;3520707;184;26
241;Inúbia Paulista;3520806;177;26
242;Ipaussu;3520905;185;26
243;Iperó;3521002;171;26
244;Ipeúna;3521101;182;26
245;Ipiguá;3521150;175;26
246;Iporanga;3521200;188;26
247;Ipuã;3521309;180;26
248;Iracemápolis;3521408;182;26
249;Irapuã;3521507;175;26
250;Irapuru;3521606;177;26
251;Itaberá;3521705;191;26
252;Itaí;3521804;185;26
253;Itajobi;3521903;175;26
254;Itaju;3522000;174;26
255;Itanhaém;3522109;187;26
256;Itaoca;3522158;191;26
257;Itapecerica da Serra;3522208;170;26
258;Itapetininga;3522307;171;26
259;Itapeva;3522406;191;26
260;Itapevi;3522505;170;26
261;Itapira;3522604;192;26
262;Itapirapuã Paulista;3522653;191;26
263;Itápolis;3522703;181;26
264;Itaporanga;3522802;185;26
265;Itapuí;3522901;174;26
266;Itapura;3523008;176;26
267;Itaquaquecetuba;3523107;168;26
268;Itararé;3523206;191;26
269;Itariri;3523305;188;26
270;Itatiba;3523404;172;26
271;Itatinga;3523503;183;26
272;Itirapina;3523602;182;26
273;Itirapuã;3523701;180;26
274;Itobi;3523800;192;26
275;Itu;3523909;171;26
276;Itupeva;3524006;172;26
277;Ituverava;3524105;180;26
278;Jaborandi;3524204;179;26
279;Jaboticabal;3524303;173;26
280;Jacareí;3524402;186;26
281;Jaci;3524501;175;26
282;Jacupiranga;3524600;188;26
283;Jaguariúna;3524709;172;26
284;Jales;3524808;184;26
285;Jambeiro;3524907;186;26
286;Jandira;3525003;170;26
287;Jardinópolis;3525102;173;26
288;Jarinu;3525201;172;26
289;Jaú;3525300;174;26
290;Jeriquara;3525409;180;26
